,s_artist_id,name,popularity,followers
0,6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,71,747136.0
1,1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic",59,337751.0
2,0REMf7H0VP6DwfZ9MbuWph,10 Years,60,243895.0
3,0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs",52,108829.0
4,7urq0VfqxEYEEiZUkebXT4,112,68,455231.0
5,17lzZA2AlOHwCwFALHttmp,2 Chainz,86,3463215.0
6,58Dx4HPzeOO3dbpD9YYEes,2 LIVE CREW,50,135487.0
7,1ZwdS5xdxEREPySFridCfh,2Pac,81,4746539.0
8,18JD8DVlD1fakDAw7E9LFC,2 Unlimited,53,59752.0
9,1URnnhqYAYcrqrcwql10ft,21 Savage,86,4928785.0
10,2RTUTCvo6onsAnheUk3aL9,3 Doors Down,73,1785725.0
11,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,74,1939660.0
12,41Q0HrwWBtuUkJc7C1Rp6K,311,65,397723.0
13,2lFHVcUeJ9Gq6AZiU3ZAOa,3LW,49,207389.0
14,6EFL6smxzRtpwlQvZFldUc,3rd Bass,33,38652.0
15,12K3IF7yyYhFBcSBHjJegl,4 Hands 4 Him,4,36.0
16,0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,65,177634.0
17,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,85,3526448.0
18,3q7HBObVc0L8jNeTe5Gofh,50 Cent,83,4548160.0
19,5ILgJERmX20rZuVVDQ7z5P,504 Boyz,28,9351.0
20,7qeBsFLeNEuzrDhDMbnDwF,69 Boyz,40,32047.0
21,7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,90,2224041.0
22,4IVAbR2w4JJNJDDRFP3E83,6LACK,86,1114096.0
23,2S8UlyXW4JjjHcbeg8ddIo,702,52,248098.0
24,6V03b3Y36lolYP2orXn8mV,98º,56,135002.0
25,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,81,1996554.0
26,4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,72,1254349.0
27,0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,60,164191.0
28,5xKp3UyavIBUsGy3DQdXeF,A Great Big World,68,293544.0
29,4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,67,698358.0
30,1ii6e2pv8VIRwnTER71rMl,A Taste Of Honey,42,8317.0
31,09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,69,824263.0
32,2jzc5TC5TVFLXQlBNiIUzE,a-ha,73,608209.0
33,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,88,4427652.0
34,0urTpYCsixqZwgNTkPJOJ4,Aaliyah,61,1342606.0
35,5338fdSzGNOFD4cxAxDTeq,Aaron Carter,53,112232.0
36,772SIFJQiXTCfxncTK1UMn,Aaron Hall,48,171784.0
37,57ALvbCBaCkNlgTOSiUPdT,Aaron Neville,55,50607.0
38,4XwKU420OWVk38vz1KvH3M,Aaron Tippin,53,192647.0
